Month,Nizamabad,Adilabad,"Kuda, warangal","Mee-Seva, Warangal",Khammam,Karimnagar
2016-01-01,62.0,67.0,73,76,47.0,69
2016-02-01,64.0,68.0,72,72,51.0,59
2016-03-01,66.0,71.0,68,63,54.0,44
2016-04-01,68.0,70.0,74,73,51.0,62
2016-05-01,69.0,71.0,76,84,47.0,52
2016-06-01,38.0,40.0,72,68,47.0,48
2016-07-01,57.0,60.0,57,63,41.0,32
2016-08-01,58.0,61.0,44,38,37.0,36
2016-09-01,56.0,58.0,48,52,39.0,31
2016-10-01,64.0,67.0,62,61,48.0,56
2016-11-01,60.0,63.0,56,83,55.0,69
2016-12-01,62.0,65.0,83,84,60.0,84
2017-01-01,61.0,64.0,73,76,60.0,84
2017-02-01,62.0,64.0,70,78,64.0,75
2017-03-01,63.0,68.0,65,71,54.0,86
2017-04-01,67.0,69.0,74,72,55.0,79
2017-05-01,68.0,71.0,71,68,57.0,82
2017-06-01,63.0,66.0,63,61,42.0,59
2017-07-01,57.0,62.0,59,48,41.0,55
2017-08-01,60.0,60.0,56,60,53.0,55
2017-09-01,59.0,61.0,68,62,50.0,62
2017-10-01,61.0,65.0,59,62,63.0,71
2017-11-01,61.0,63.0,65,76,54.0,91
2017-12-01,59.0,64.0,70,78,60.0,90
2018-01-01,61.0,66.0,105,105,64.0,111
2018-02-01,61.0,67.0,94,94,68.0,87
2018-03-01,66.0,70.0,80,80,71.0,89
2018-04-01,70.0,74.0,82,82,77.0,100
2018-05-01,54.0,74.0,83,83,77.0,100
2018-06-01,64.0,69.0,85,85,83.0,100
2018-07-01,59.0,64.0,71,71,75.0,89
2018-08-01,60.0,64.0,76,76,79.0,91
2018-09-01,64.0,62.0,80,80,84.0,100
2018-10-01,48.0,67.0,87,87,85.0,98
2018-11-01,60.0,75.0,95,95,92.0,106
2018-12-01,62.0,81.0,87,87,88.0,100
2019-01-01,64.0,76.0,88,91,94.0,104
2019-02-01,61.0,77.0,90,91,90.0,102
2019-03-01,61.0,79.0,90,92,91.0,103
2019-04-01,62.0,78.0,94,89,90.0,109
2019-05-01,64.0,80.0,92,93,88.0,103
2019-06-01,69.0,77.0,88,86,81.0,99
2019-07-01,72.0,78.0,89,87,77.0,100
2019-08-01,71.0,79.0,82,80,84.0,99
2019-09-01,61.0,73.0,76,73,78.0,97
2019-10-01,69.0,72.0,91,85,86.0,102
2019-11-01,62.0,79.0,88,91,85.0,105
2019-12-01,66.0,73.0,90,87,84.0,112
2020-01-01,64.0,78.0,92,89,88.0,104
2020-02-01,64.0,82.0,88,88,84.0,102
2020-03-01,66.0,71.0,65,74,83.0,103
2020-04-01,38.0,52.0,38,41,80.0,109
2020-05-01,50.0,,41,65,63.0,103
2020-06-01,52.0,74.0,42,58,48.0,99
2020-07-01,63.0,74.0,57,67,70.0,100
2020-08-01,60.0,72.0,67,61,37.0,99
2020-09-01,62.0,72.0,51,55,52.0,97
2020-10-01,62.0,72.0,59,61,62.0,102
2020-11-01,63.0,,85,92,83.0,105
2020-12-01,81.0,,59,91,95.0,112
2021-01-01,69.0,,78,81,100.0,111
2021-02-01,68.0,62.0,85,88,84.0,114
2021-03-01,66.0,73.0,57,75,68.0,110
2021-04-01,69.0,74.0,58,71,54.0,39
2021-05-01,41.0,67.0,43,51,,72
2021-06-01,,,44,81,88.0,58
2021-07-01,54.0,,86,57,69.0,114
2021-08-01,45.0,,40,60,67.0,70
2021-09-01,43.0,,64,55,85.0,96
2021-10-01,59.0,,49,64,61.0,137
2021-11-01,66.0,,58,65,86.0,114
2021-12-01,57.0,,55,69,78.0,108
2022-01-01,56.0,,58,73,80.0,82
2022-02-01,59.0,,64,73,78.0,90
2022-03-01,64.0,56.0,49,76,77.0,96
2022-04-01,58.0,65.0,66,60,79.0,70
2022-05-01,56.0,60.0,54,77,77.0,76
2022-06-01,54.0,58.0,72,85,81.0,89
2022-07-01,46.0,48.0,40,47,73.0,69
2022-08-01,53.0,56.0,43,56,58.0,55
2022-09-01,54.0,56.0,41,48,42.0,58
2022-10-01,63.0,65.0,64,64,57.0,63
2022-11-01,56.0,58.0,49,94,78.0,101
2022-12-01,59.0,62.0,116,94,115.0,126
